age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,euribor3m,nr.employed,y
56,housemaid,married,1,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
57,services,married,5,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
37,services,married,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
40,admin.,married,2,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
56,services,married,5,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
45,services,married,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
59,admin.,married,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
41,blue-collar,married,4,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
24,technician,single,7,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
25,services,single,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
41,blue-collar,married,4,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
25,services,single,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
29,blue-collar,single,5,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
57,housemaid,divorced,1,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
35,blue-collar,married,2,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
54,retired,married,3,1,2,2,0,may,mon,1,0,1,4.857,5191.0,0
35,blue-collar,married,2,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
46,blue-collar,married,2,1,2,2,0,may,mon,1,0,1,4.857,5191.0,0
50,blue-collar,married,3,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
39,management,single,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
30,unemployed,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
55,blue-collar,married,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
55,retired,single,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
41,technician,single,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
37,admin.,married,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
35,technician,married,6,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
59,technician,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
39,self-employed,married,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
54,technician,single,6,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
55,unknown,married,6,1,1,1,0,may,mon,1,0,1,4.857,5191.0,0
46,admin.,married,4,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
59,technician,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
49,blue-collar,married,4,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
54,management,married,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
54,blue-collar,divorced,1,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
55,unknown,married,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
34,services,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
52,technician,married,3,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
41,admin.,married,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
56,technician,married,1,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
58,management,unknown,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
32,entrepreneur,married,5,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
38,admin.,single,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
57,admin.,married,6,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
44,admin.,married,6,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,technician,single,7,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
57,admin.,married,6,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
40,blue-collar,married,3,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
35,admin.,married,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
45,blue-collar,married,3,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
54,admin.,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
39,housemaid,married,1,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
60,admin.,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
53,admin.,single,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
55,blue-collar,married,1,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
55,technician,married,7,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
50,management,married,6,1,0,2,0,may,mon,1,0,1,4.857,5191.0,0
45,services,married,5,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
55,unemployed,married,7,1,2,2,0,may,mon,1,0,1,4.857,5191.0,0
25,technician,single,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
47,entrepreneur,married,6,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
51,blue-collar,married,3,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,2,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,2,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
48,admin.,married,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
37,admin.,married,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
44,blue-collar,single,3,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
33,admin.,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
56,admin.,married,3,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
44,blue-collar,single,1,1,2,2,0,may,mon,1,0,1,4.857,5191.0,0
41,management,married,2,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
44,management,divorced,6,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
47,admin.,married,6,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
57,unknown,married,4,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
37,admin.,married,6,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
41,blue-collar,divorced,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,1
55,technician,married,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
33,services,married,5,1,2,0,0,may,mon,2,0,1,4.857,5191.0,0
55,management,married,4,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,3,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
50,blue-collar,married,1,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
51,blue-collar,married,1,1,1,1,0,may,mon,1,0,1,4.857,5191.0,0
38,admin.,married,5,1,0,0,0,may,mon,2,0,1,4.857,5191.0,0
49,entrepreneur,married,6,1,2,0,0,may,mon,1,0,1,4.857,5191.0,1
38,technician,single,6,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
31,admin.,divorced,5,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
41,management,married,2,0,0,0,0,may,mon,2,0,1,4.857,5191.0,0
39,admin.,married,6,0,2,2,0,may,mon,1,0,1,4.857,5191.0,0
49,technician,married,3,0,0,0,0,may,mon,1,0,1,4.857,5191.0,1
34,admin.,married,5,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
35,admin.,married,6,0,2,0,0,may,mon,2,0,1,4.857,5191.0,0
57,unknown,married,4,1,2,0,0,may,mon,1,0,1,4.857,5191.0,0
60,admin.,married,4,1,0,2,0,may,mon,2,0,1,4.857,5191.0,0
33,unemployed,married,3,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
42,blue-collar,married,2,0,0,2,0,may,mon,1,0,1,4.857,5191.0,0
45,services,married,7,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
42,management,married,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
53,admin.,divorced,6,1,0,0,0,may,mon,1,0,1,4.857,5191.0,0
37,technician,single,7,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
44,blue-collar,married,2,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
54,services,married,4,0,2,0,0,may,mon,1,0,1,4.857,5191.0,0
49,blue-collar,married,1,0,0,0,0,may,mon,3,0,1,4.857,5191.0,0
54,services,married,4,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
52,admin.,divorced,6,0,0,0,0,may,mon,1,0,1,4.857,5191.0,0
