Age,Job,Marital,EducationLevel,HasDefault,HousingLoan,HasLoan,ContactType,ContactMonth,ContactDay,ThisCampaignContact,PreviousCampaignContact,PreviousOutcome,EuriborRate3Month,NumberOfEmployees,Success
56,housemaid,married,1,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
57,services,married,5,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
37,services,married,5,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
40,admin.,married,2,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
56,services,married,5,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
45,services,married,3,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
59,admin.,married,7,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
41,blue-collar,married,4,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
24,technician,single,7,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
25,services,single,5,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
41,blue-collar,married,4,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
25,services,single,5,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
29,blue-collar,single,5,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
57,housemaid,divorced,1,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
35,blue-collar,married,2,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
54,retired,married,3,Unknown,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
35,blue-collar,married,2,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
46,blue-collar,married,2,Unknown,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
50,blue-collar,married,3,No,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
39,management,single,3,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
30,unemployed,married,5,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
55,blue-collar,married,1,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
55,retired,single,5,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
41,technician,single,5,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
37,admin.,married,5,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
35,technician,married,6,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
59,technician,married,4,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
39,self-employed,married,3,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
54,technician,single,6,Unknown,No,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
55,unknown,married,6,Unknown,Unknown,Unknown,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
46,admin.,married,4,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
59,technician,married,4,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
49,blue-collar,married,4,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
54,management,married,1,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
54,blue-collar,divorced,1,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
55,unknown,married,1,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
34,services,married,5,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
52,technician,married,3,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
41,admin.,married,6,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
56,technician,married,1,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
58,management,unknown,6,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
32,entrepreneur,married,5,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
38,admin.,single,7,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
57,admin.,married,6,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
44,admin.,married,6,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
42,technician,single,7,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
57,admin.,married,6,No,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
40,blue-collar,married,3,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
35,admin.,married,6,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
45,blue-collar,married,3,No,Yes,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
54,admin.,married,5,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
39,housemaid,married,1,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
60,admin.,married,5,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
53,admin.,single,7,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
55,blue-collar,married,1,Unknown,No,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
55,technician,married,7,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
50,management,married,6,Unknown,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
45,services,married,5,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
55,unemployed,married,7,Unknown,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
25,technician,single,6,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
47,entrepreneur,married,6,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
51,blue-collar,married,3,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
42,blue-collar,married,2,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
42,blue-collar,married,2,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
48,admin.,married,5,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
37,admin.,married,6,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
44,blue-collar,single,3,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
33,admin.,married,4,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
56,admin.,married,3,No,Yes,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
44,blue-collar,single,1,Unknown,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
41,management,married,2,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
44,management,divorced,6,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
47,admin.,married,6,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
57,unknown,married,4,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
37,admin.,married,6,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
41,blue-collar,divorced,1,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,1
55,technician,married,6,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
33,services,married,5,Unknown,Yes,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
55,management,married,4,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
42,blue-collar,married,3,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
50,blue-collar,married,1,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
51,blue-collar,married,1,Unknown,Unknown,Unknown,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
38,admin.,married,5,Unknown,No,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
49,entrepreneur,married,6,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,1
38,technician,single,6,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
31,admin.,divorced,5,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
41,management,married,2,No,No,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
39,admin.,married,6,No,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
49,technician,married,3,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,1
34,admin.,married,5,No,Yes,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
35,admin.,married,6,No,Yes,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
57,unknown,married,4,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
60,admin.,married,4,Unknown,No,Yes,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
33,unemployed,married,3,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
42,blue-collar,married,2,No,No,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
45,services,married,7,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
42,management,married,6,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
53,admin.,divorced,6,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
37,technician,single,7,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
44,blue-collar,married,2,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
54,services,married,4,No,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
49,blue-collar,married,1,No,No,No,Telephone,may,mon,3,0,Not-Exist,4.857,5191.0,0
54,services,married,4,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
52,admin.,divorced,6,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
52,admin.,divorced,6,No,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
43,services,single,5,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
34,housemaid,married,2,No,Yes,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
35,admin.,married,5,No,Yes,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
42,entrepreneur,married,4,Unknown,Yes,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
43,technician,married,4,Unknown,Yes,Yes,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
60,retired,divorced,6,Unknown,No,No,Telephone,may,mon,1,0,Not-Exist,4.857,5191.0,0
58,unemployed,married,1,Unknown,No,No,Telephone,may,mon,2,0,Not-Exist,4.857,5191.0,0
