"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","2006",67.402,
"AUS","WKGPOP","TOT","PC_POP","A","2007",67.43,
"AUS","WKGPOP","TOT","PC_POP","A","2008",67.499,
"AUS","WKGPOP","TOT","PC_POP","A","2009",67.505,
"AUS","WKGPOP","TOT","PC_POP","A","2010",67.386,
"AUS","WKGPOP","TOT","PC_POP","A","2011",67.226,
"AUS","WKGPOP","TOT","PC_POP","A","2012",66.93,
"AUT","WKGPOP","TOT","PC_POP","A","2006",67.561,
"AUT","WKGPOP","TOT","PC_POP","A","2007",67.466,
"AUT","WKGPOP","TOT","PC_POP","A","2008",67.485,
"AUT","WKGPOP","TOT","PC_POP","A","2009",67.456,
"AUT","WKGPOP","TOT","PC_POP","A","2010",67.505,
"AUT","WKGPOP","TOT","PC_POP","A","2011",67.657,
"AUT","WKGPOP","TOT","PC_POP","A","2012",67.567,
"BEL","WKGPOP","TOT","PC_POP","A","2006",65.808,
"BEL","WKGPOP","TOT","PC_POP","A","2007",65.988,
"BEL","WKGPOP","TOT","PC_POP","A","2008",66.051,
"BEL","WKGPOP","TOT","PC_POP","A","2009",65.988,
"BEL","WKGPOP","TOT","PC_POP","A","2010",65.895,
"BEL","WKGPOP","TOT","PC_POP","A","2011",65.72,
"BEL","WKGPOP","TOT","PC_POP","A","2012",65.477,
"CAN","WKGPOP","TOT","PC_POP","A","2006",69.399,
"CAN","WKGPOP","TOT","PC_POP","A","2007",69.464,
"CAN","WKGPOP","TOT","PC_POP","A","2008",69.448,
"CAN","WKGPOP","TOT","PC_POP","A","2009",69.402,
"CAN","WKGPOP","TOT","PC_POP","A","2010",69.339,
"CAN","WKGPOP","TOT","PC_POP","A","2011",69.178,
"CAN","WKGPOP","TOT","PC_POP","A","2012",68.844,
"CZE","WKGPOP","TOT","PC_POP","A","2006",71.177,
"CZE","WKGPOP","TOT","PC_POP","A","2007",71.207,
"CZE","WKGPOP","TOT","PC_POP","A","2008",71.09,
"CZE","WKGPOP","TOT","PC_POP","A","2009",70.772,
"CZE","WKGPOP","TOT","PC_POP","A","2010",70.306,
"CZE","WKGPOP","TOT","PC_POP","A","2011",69.503,
"CZE","WKGPOP","TOT","PC_POP","A","2012",68.741,
"DNK","WKGPOP","TOT","PC_POP","A","2006",66.086,
"DNK","WKGPOP","TOT","PC_POP","A","2007",66.018,
"DNK","WKGPOP","TOT","PC_POP","A","2008",65.893,
"DNK","WKGPOP","TOT","PC_POP","A","2009",65.691,
"DNK","WKGPOP","TOT","PC_POP","A","2010",65.419,
"DNK","WKGPOP","TOT","PC_POP","A","2011",65.082,
"DNK","WKGPOP","TOT","PC_POP","A","2012",64.788,
"FIN","WKGPOP","TOT","PC_POP","A","2006",66.599,
"FIN","WKGPOP","TOT","PC_POP","A","2007",66.535,
"FIN","WKGPOP","TOT","PC_POP","A","2008",66.565,
"FIN","WKGPOP","TOT","PC_POP","A","2009",66.453,
"FIN","WKGPOP","TOT","PC_POP","A","2010",66.182,
"FIN","WKGPOP","TOT","PC_POP","A","2011",65.69,
"FIN","WKGPOP","TOT","PC_POP","A","2012",65.106,
"FRA","WKGPOP","TOT","PC_POP","A","2006",65.129,
"FRA","WKGPOP","TOT","PC_POP","A","2007",65.139,
"FRA","WKGPOP","TOT","PC_POP","A","2008",65.046,
"FRA","WKGPOP","TOT","PC_POP","A","2009",64.895,
"FRA","WKGPOP","TOT","PC_POP","A","2010",64.753,
"FRA","WKGPOP","TOT","PC_POP","A","2011",64.481,
"FRA","WKGPOP","TOT","PC_POP","A","2012",64.06,
"DEU","WKGPOP","TOT","PC_POP","A","2006",66.458,
"DEU","WKGPOP","TOT","PC_POP","A","2007",66.243,
"DEU","WKGPOP","TOT","PC_POP","A","2008",66.101,
"DEU","WKGPOP","TOT","PC_POP","A","2009",65.939,
"DEU","WKGPOP","TOT","PC_POP","A","2010",65.937,
"DEU","WKGPOP","TOT","PC_POP","A","2011",65.844,
"DEU","WKGPOP","TOT","PC_POP","A","2012",65.947,
"GRC","WKGPOP","TOT","PC_POP","A","2006",66.656,
"GRC","WKGPOP","TOT","PC_POP","A","2007",66.685,
"GRC","WKGPOP","TOT","PC_POP","A","2008",66.648,
"GRC","WKGPOP","TOT","PC_POP","A","2009",66.489,
"GRC","WKGPOP","TOT","PC_POP","A","2010",66.228,
"GRC","WKGPOP","TOT","PC_POP","A","2011",65.868,
"GRC","WKGPOP","TOT","PC_POP","A","2012",65.459,
"HUN","WKGPOP","TOT","PC_POP","A","2006",68.827,
"HUN","WKGPOP","TOT","PC_POP","A","2007",68.836,
"HUN","WKGPOP","TOT","PC_POP","A","2008",68.791,
"HUN","WKGPOP","TOT","PC_POP","A","2009",68.704,
"HUN","WKGPOP","TOT","PC_POP","A","2010",68.656,
"HUN","WKGPOP","TOT","PC_POP","A","2011",68.648,
"HUN","WKGPOP","TOT","PC_POP","A","2012",68.505,
"ISL","WKGPOP","TOT","PC_POP","A","2006",66.836,
"ISL","WKGPOP","TOT","PC_POP","A","2007",67.345,
"ISL","WKGPOP","TOT","PC_POP","A","2008",67.527,
"ISL","WKGPOP","TOT","PC_POP","A","2009",67.296,
"ISL","WKGPOP","TOT","PC_POP","A","2010",66.932,
